"totalcurrval","livingarea","dep","size","zone","actype","bedrms","bathhalf","type"
NA,1447,28,0.1,"RS3","No AC",3,"1:0","Colonial"
NA,1699,24,0.24,"RS3","AC",3,"1:1","Other"
NA,3588,22,1.43,"RM1","No AC",3,"3:0","Modern"
NA,1282,19,0.13,"RS3","No AC",2,"1:1","Other"
NA,2470,19,0.14,"RS2","No AC",4,"2:0","Colonial"
NA,3367,22,0.15,"RM2","No AC",6,"3:0","Ranch"
80620,1337,19,0.22,"RS1","No AC",3,"1:0","Other"
70680,1014,28,0.45,"RS1","No AC",3,"1:0","Other"
NA,1159,22,0.19,"RS2","No AC",2,"1:0","Other"
65560,924,23,0.16,"RS3","No AC",2,"1:0","Modern"
42810,1711,38,0.08,"RM1","No AC",5,"2:0","Other"
NA,1532,23,0.24,"RS2","No AC",1,"2:0","Other"
NA,3515,28,0.22,"RS2","No AC",6,"2:0","Colonial"
NA,2703,28,0.09,"RS3","No AC",6,"2:0","Other"
NA,1794,22,0.11,"RS1","No AC",4,"2:1","Colonial"
NA,1400,22,0.07,"RM2","No AC",3,"1:0","Other"
57010,1257,11,0.14,"Other","No AC",3,"1:1","Colonial"
128900,1832,22,0.14,"Other","AC",4,"1:1","Colonial"
NA,1122,28,0.07,"Other","No AC",2,"1:1","Ranch"
117220,2196,28,0.17,"RS3","No AC",2,"2:0","Other"
NA,1325,28,0.1,"RS1","No AC",3,"2:0","Other"
98910,2940,28,0.24,"RM2","No AC",6,"2:0","Other"
NA,3185,22,0.1,"RS1","No AC",4,"2:1","Colonial"
NA,1090,38,0.18,"Other","No AC",2,"1:0","Other"
NA,1048,23,0.14,"RS3","No AC",3,"1:0","Colonial"
156590,4657,28,0.06,"RM2","No AC",6,"3:0","Other"
NA,1534,28,0.13,"RM2","No AC",4,"1:0","Other"
NA,768,30,0.12,"RS1","No AC",1,"1:0","Colonial"
64020,1600,28,0.13,"RM1","No AC",4,"2:0","Colonial"
NA,1859,22,0.25,"RS1","No AC",3,"1:1","Other"
121840,1812,23,0.45,"RS3","AC",3,"2:0","Colonial"
128080,2258,22,0.16,"RS1","No AC",4,"2:0","Ranch"
NA,3611,14,0.24,"RS1","No AC",5,"3:0","Colonial"
87640,2164,28,0.21,"RM3","No AC",4,"2:0","Other"
NA,3483,22,0.16,"RM2","No AC",8,"3:0","Other"
NA,1470,22,0.12,"RS3","No AC",4,"2:0","Modern"
65250,2309,22,0.07,"RS2","No AC",7,"2:0","Other"
59890,2220,38,0.14,"RM1","No AC",6,"4:0","Other"
80960,1411,28,0.12,"RM1","No AC",3,"1:1","Colonial"
103120,2184,28,0.22,"RS2","No AC",4,"2:0","Other"
NA,2056,22,0.11,"RM2","No AC",3,"2:0","Colonial"
112920,1650,21,0.29,"RS2","AC",3,"1:1","Other"
98420,2464,10,0.06,"RM3","No AC",6,"3:0","Colonial"
NA,1317,28,0.23,"RS1","No AC",3,"1:0","Other"
61610,2400,28,0.07,"RS2","No AC",4,"2:0","Ranch"
108300,1644,15,0.23,"RS2","No AC",3,"2:0","Other"
NA,2176,21,0.2,"RS3","No AC",4,"2:0","Other"
NA,1162,22,0.11,"RM3","No AC",4,"1:0","Colonial"
105540,3118,22,0.14,"RS1","No AC",6,"4:0","Ranch"
63630,1090,28,0.14,"RM2","No AC",1,"1:0","Colonial"
78160,2644,28,0.14,"RS3","No AC",6,"3:0","Other"
NA,946,22,0.28,"RM2","AC",1,"1:0","Other"
72450,1080,20,0.17,"RM2","AC",3,"1:0","Modern"
NA,1056,23,0.14,"RM3","No AC",3,"1:0","Modern"
89600,1432,22,0.12,"RM2","No AC",4,"1:1","Ranch"
80330,1347,19,0.31,"RS3","No AC",2,"1:0","Colonial"
110420,1275,28,0.1,"Other","No AC",2,"2:0","Other"
NA,1236,19,0.34,"RS2","No AC",2,"1:1","Other"
86700,1770,22,0.16,"RS3","No AC",4,"3:0","Other"
101740,3190,26,0.18,"Other","No AC",6,"2:0","Other"
NA,2611,28,0.13,"RM1","No AC",4,"3:0","Other"
97760,1623,22,0.1,"RS3","No AC",4,"1:0","Colonial"
128100,2100,22,0.29,"RM3","AC",4,"3:0","Other"
NA,2066,17,0.15,"RS3","No AC",3,"2:0","Modern"
58560,1944,38,0.06,"RS3","No AC",4,"2:0","Colonial"
91740,3009,28,0.16,"RS3","No AC",5,"2:0","Colonial"
77320,3573,22,0.11,"RS3","No AC",6,"3:0","Colonial"
NA,2354,18,0.18,"RS2","No AC",4,"2:1","Colonial"
NA,1204,22,0.07,"RS2","No AC",3,"1:1","Other"
NA,2081,19,0.26,"RM2","AC",3,"2:0","Colonial"
NA,1741,23,0.26,"RM2","AC",1,"2:0","Other"
75530,1000,20,0.17,"RM2","No AC",2,"1:0","Ranch"
75080,1008,22,0.16,"RS3","No AC",2,"1:0","Other"
NA,1160,14,0.08,"RM2","No AC",3,"1:1","Colonial"
NA,3718,22,0.22,"RS1","No AC",7,"4:0","Colonial"
NA,1800,22,0.08,"RM2","No AC",4,"2:0","Colonial"
NA,2495,22,0.1,"RS3","No AC",4,"2:0","Other"
72760,1360,38,0.04,"Other","No AC",4,"2:0","Other"
122510,1736,19,0.21,"RS2","AC",3,"2:1","Other"
144530,2228,22,0.17,"RS1","No AC",4,"2:1","Modern"
NA,2524,28,0.11,"RS2","No AC",4,"2:0","Other"
NA,1570,50,0.11,"RS2","No AC",6,"2:0","Ranch"
NA,1560,28,0.09,"RM3","No AC",3,"1:0","Other"
NA,3175,22,0.4,"RM1","AC",4,"4:0","Other"
58360,1728,27,0.17,"RS1","No AC",4,"2:0","Modern"
134800,3674,48,0.34,"RS1","No AC",6,"4:0","Other"
NA,2457,22,0.15,"RS3","AC",3,"2:1","Modern"
NA,1924,28,0.15,"RS1","No AC",5,"2:1","Ranch"
NA,1150,35,0.09,"RS1","No AC",3,"1:0","Other"
112180,1833,28,0.16,"RM1","No AC",5,"1:1","Other"
NA,1105,28,0.16,"RM1","No AC",3,"1:0","Colonial"
NA,2680,28,0.15,"RS2","No AC",6,"3:0","Ranch"
78190,1306,26,0.11,"RM2","No AC",2,"1:1","Other"
145330,2800,22,0.16,"RS2","No AC",4,"2:0","Modern"
NA,1732,19,0.22,"RS3","No AC",3,"1:1","Colonial"
247310,4153,17,0.34,"RM3","AC",5,"3:0","Other"
137730,2038,28,0.21,"RS3","No AC",5,"1:0","Other"
NA,1098,38,0.07,"RS3","No AC",3,"1:1","Other"
94920,1716,22,0.17,"RM2","No AC",3,"2:0","Ranch"
92830,1956,28,0.14,"RS2","No AC",3,"1:1","Colonial"
NA,2250,22,0.13,"RS2","No AC",4,"2:0","Colonial"
59260,1560,21,0.03,"RS3","No AC",5,"2:0","Colonial"
NA,2222,97,0.07,"RM2","No AC",4,"2:0","Other"
189850,2946,22,1.78,"RS2","No AC",4,"3:0","Other"
110920,1508,28,0.15,"RM1","No AC",3,"1:1","Other"
NA,2524,28,0.27,"RS1","No AC",1,"1:0","Colonial"
NA,3438,28,0.2,"Other","No AC",4,"3:1","Colonial"
NA,1687,22,0.28,"Other","No AC",3,"1:0","Ranch"
NA,2797,17,0.1,"RM1","No AC",6,"3:0","Colonial"
118020,2432,28,0.05,"RM2","No AC",4,"3:0","Modern"
NA,2132,22,0.17,"RM3","No AC",4,"2:0","Other"
NA,2571,22,0.1,"RS1","No AC",6,"2:0","Colonial"
NA,1208,23,0.15,"RS2","No AC",2,"1:0","Other"
NA,1387,12,0.18,"RM3","AC",3,"2:0","Colonial"
75500,2670,28,0.11,"RM1","No AC",4,"2:0","Ranch"
NA,2634,28,0.14,"RS3","No AC",5,"2:1","Ranch"
105220,3305,28,0.16,"RS2","No AC",6,"3:0","Other"
NA,1654,28,0.12,"RS2","No AC",3,"1:1","Ranch"
NA,1824,28,0.13,"RS3","No AC",4,"2:0","Other"
60800,2098,28,0.11,"RS3","No AC",4,"2:0","Other"
NA,1389,22,0.07,"RM3","No AC",4,"3:0","Colonial"
119070,2100,22,0.29,"RM3","AC",3,"3:0","Ranch"
64500,1184,14,0.09,"Other","No AC",2,"1:0","Ranch"
73390,884,26,0.14,"Other","AC",3,"1:1","Modern"
NA,2402,15,0.25,"RS2","AC",3,"1:1","Other"
68040,1978,22,0.14,"RM2","No AC",4,"2:1","Colonial"
NA,1216,28,0.11,"RM1","No AC",2,"1:0","Colonial"
99920,3330,22,0.15,"Other","No AC",6,"3:0","Colonial"
NA,1280,38,0.08,"RM3","No AC",3,"1:0","Modern"
71020,1953,22,0.09,"RS3","No AC",6,"3:0","Colonial"
NA,1120,22,0.17,"RS2","AC",3,"1:1","Ranch"
69620,2088,10,0.06,"RS3","No AC",4,"2:0","Colonial"
NA,2100,17,0.24,"RM2","No AC",5,"2:0","Other"
228350,4058,38,0.15,"RS2","No AC",4,"3:0","Other"
NA,3278,28,0.14,"RS1","No AC",6,"3:0","Other"
NA,1875,38,0.1,"RS3","No AC",4,"2:0","Modern"
NA,2981,28,0.17,"RS3","No AC",5,"3:0","Colonial"
86800,3411,22,0.12,"RM2","No AC",5,"3:0","Other"
NA,1152,22,0.13,"RM2","No AC",3,"1:1","Ranch"
85960,2416,28,0.12,"RM2","No AC",4,"2:0","Ranch"
61530,2013,28,0.06,"RM3","No AC",3,"1:0","Colonial"
NA,1152,22,0.06,"RS3","No AC",2,"1:0","Other"
NA,1476,28,0.14,"RS2","AC",3,"1:1","Colonial"
NA,1620,28,0.1,"RS2","No AC",5,"1:1","Colonial"
NA,2346,22,0.08,"RM1","No AC",6,"2:0","Other"
81810,2549,22,0.09,"RS1","No AC",5,"3:0","Other"
91420,1448,18,0.22,"RM2","AC",3,"1:1","Colonial"
97830,1800,23,0.35,"RS3","No AC",4,"1:1","Ranch"
314730,3564,22,0.22,"RS2","No AC",5,"4:1","Other"
50830,1672,28,0.09,"RS2","No AC",4,"2:0","Colonial"
77110,2201,15,0.15,"RS3","No AC",6,"2:0","Other"
96430,1464,22,0.27,"RS3","No AC",2,"1:1","Other"
101260,1639,22,0.23,"RS3","No AC",3,"1:0","Other"
NA,1689,22,0.33,"RS3","No AC",2,"1:0","Other"
NA,2863,28,0.08,"RS2","No AC",5,"3:0","Other"
47820,1056,28,0.06,"RS2","No AC",3,"1:1","Colonial"
110220,3297,28,0.19,"RS3","No AC",6,"3:0","Other"
NA,1896,28,0.08,"RM2","No AC",6,"3:0","Other"
NA,1728,22,0.1,"RM3","No AC",4,"2:0","Colonial"
NA,1728,27,0.12,"RS2","No AC",4,"2:0","Other"
73150,892,20,0.14,"RM3","No AC",2,"1:0","Modern"
117150,3765,22,0.15,"RS3","No AC",6,"3:0","Other"
83280,1198,33,0.13,"RS1","No AC",3,"1:1","Colonial"
150400,2012,20,0.26,"RS3","AC",3,"1:1","Modern"
63780,1152,23,0.21,"RS2","No AC",2,"1:0","Modern"
NA,2125,22,0.11,"RM1","No AC",5,"2:0","Colonial"
81760,1612,22,0.15,"RM3","No AC",2,"1:0","Ranch"
NA,1464,20,0.12,"RS1","No AC",2,"1:1","Colonial"
NA,2683,15,0.89,"RM3","AC",4,"4:0","Modern"
NA,3645,28,0.14,"RS2","No AC",5,"3:0","Other"
75890,1392,22,0.18,"RS2","No AC",3,"1:0","Other"
NA,3340,28,0.11,"RS2","No AC",5,"3:0","Colonial"
NA,2132,17,0.18,"RM2","AC",4,"2:0","Ranch"
NA,3580,28,0.2,"Other","No AC",6,"2:0","Other"
NA,2656,22,0.15,"RS3","No AC",4,"3:0","Other"
NA,1440,28,0.14,"Other","No AC",3,"1:1","Other"
63850,1600,22,0.11,"RS2","No AC",4,"3:0","Other"
41930,1344,28,0.08,"RM3","No AC",4,"2:0","Other"
73340,3110,28,0.13,"RS1","No AC",6,"3:0","Colonial"
106790,1432,22,0.11,"RS3","No AC",4,"2:1","Other"
NA,1118,38,0.07,"RS2","No AC",2,"1:0","Other"
140290,2307,13,0.39,"RS2","AC",3,"2:1","Colonial"
NA,1440,28,0.24,"RS1","No AC",3,"2:0","Colonial"
NA,1296,18,0.13,"RS2","AC",3,"1:0","Colonial"
77170,3229,28,0.1,"Other","No AC",6,"3:0","Colonial"
NA,4616,28,0.17,"RS3","No AC",6,"3:0","Modern"
146620,3686,28,0.18,"RS3","No AC",8,"3:0","Other"
NA,2268,28,0.09,"RS1","No AC",5,"3:0","Other"
46910,532,38,0.12,"RS2","No AC",2,"1:0","Modern"
NA,2174,28,0.12,"RM3","No AC",6,"3:0","Ranch"
NA,3040,22,0.15,"RS2","No AC",6,"3:0","Other"
NA,2689,22,0.18,"RS1","No AC",5,"4:0","Colonial"
73650,960,22,0.15,"RS2","No AC",3,"1:0","Other"
284250,4607,28,0.21,"RS1","No AC",7,"3:0","Modern"
NA,3080,22,0.1,"Other","No AC",6,"3:0","Colonial"
NA,3160,28,0.14,"RM1","No AC",7,"3:0","Modern"
NA,2467,22,0.11,"RS2","No AC",4,"2:1","Colonial"
NA,2852,28,0.15,"RS2","No AC",6,"3:0","Other"
78440,1080,22,0.14,"RS3","No AC",3,"1:0","Modern"
NA,1364,24,0.1,"RS2","No AC",3,"1:1","Other"
NA,1728,38,0.15,"RS1","No AC",3,"1:1","Modern"
140630,3679,28,0.2,"RM3","No AC",8,"3:0","Other"
NA,1523,27,0.27,"RS3","No AC",4,"2:0","Other"
89220,1260,20,0.16,"RS3","No AC",2,"2:0","Colonial"
NA,2248,28,0.16,"RM1","No AC",3,"2:1","Colonial"
55550,1332,28,0.08,"RM1","No AC",3,"1:1","Other"
69510,2754,28,0.13,"RM2","No AC",6,"3:0","Other"
NA,1461,22,0.11,"RM3","No AC",2,"1:1","Other"
74870,1409,22,0.13,"RM1","No AC",3,"1:1","Colonial"
197830,3142,22,0.3,"RS2","No AC",4,"2:1","Other"
130180,2104,19,0.28,"RS1","AC",3,"2:1","Other"
NA,1944,28,0.06,"RM1","No AC",6,"3:0","Colonial"
106650,3604,22,0.48,"RS3","No AC",6,"3:0","Modern"
NA,3342,22,0.22,"RS3","No AC",4,"2:0","Modern"
55730,1700,28,0.08,"RS2","No AC",6,"2:0","Modern"
NA,1312,23,0.17,"RM3","No AC",3,"1:1","Modern"
61700,1710,28,0.16,"Other","No AC",3,"1:0","Other"
118130,2160,28,0.13,"RS3","No AC",4,"2:0","Modern"
71900,1904,23,0.14,"RS2","No AC",6,"2:0","Other"
NA,1546,28,0.16,"RM1","No AC",3,"2:0","Colonial"
NA,2171,50,0.08,"RS3","No AC",4,"2:0","Colonial"
84490,3172,22,0.07,"RM3","No AC",8,"4:0","Ranch"
NA,1138,27,0.13,"RM1","No AC",2,"1:0","Colonial"
355050,4252,28,0.61,"RS2","No AC",5,"3:1","Modern"
NA,4039,28,0.19,"RM2","No AC",6,"3:0","Colonial"
131890,1926,20,0.44,"RS2","No AC",3,"2:0","Other"
NA,1888,28,0.06,"RS2","No AC",4,"2:0","Other"
NA,3842,28,0.14,"RM2","No AC",8,"3:0","Other"
NA,1472,38,0.09,"RS1","No AC",6,"2:0","Colonial"
84740,3159,22,0.1,"RS3","No AC",5,"3:0","Other"
46280,1224,38,0.07,"RS2","No AC",3,"1:1","Other"
NA,1016,21,0.18,"RM2","No AC",2,"1:0","Colonial"
79590,3635,28,0.09,"RM3","No AC",6,"3:0","Colonial"
NA,3142,28,0.15,"RM1","No AC",7,"3:1","Colonial"
NA,3704,28,0.2,"RS3","No AC",5,"3:1","Modern"
NA,1932,22,0.17,"RS1","No AC",4,"1:0","Colonial"
198770,2549,22,0.35,"RS3","No AC",3,"3:1","Ranch"
NA,1520,19,0.24,"Other","AC",2,"2:1","Other"
78510,1520,28,0.04,"RM1","No AC",2,"2:0","Colonial"
72110,2380,22,0.09,"RS2","No AC",4,"2:0","Other"
83660,1224,12,0.24,"RS2","No AC",1,"1:0","Modern"
NA,1564,22,0.13,"RM1","No AC",3,"1:0","Other"
NA,1231,85,0.08,"RS2","No AC",3,"1:1","Modern"
94710,1748,27,0.15,"RM2","No AC",3,"1:1","Colonial"
123340,1946,18,0.35,"RM2","No AC",2,"1:1","Colonial"
NA,1208,22,0.11,"RS1","No AC",2,"1:0","Modern"
67720,3046,28,0.1,"Other","No AC",6,"3:0","Colonial"
NA,3802,22,0.18,"RS2","No AC",8,"3:0","Other"
NA,2362,38,0.08,"RM1","No AC",6,"3:0","Other"
77680,1149,23,0.24,"RS1","No AC",3,"1:0","Other"
NA,3653,22,0.13,"RM3","No AC",6,"3:0","Colonial"
81210,1200,22,0.13,"RS2","No AC",2,"1:0","Colonial"
91750,1482,22,0.13,"RS1","No AC",3,"1:1","Other"
NA,1361,28,0.07,"Other","No AC",4,"1:0","Colonial"
78230,2128,28,0.14,"RS3","No AC",4,"2:0","Other"
119360,2184,28,0.1,"RS2","No AC",4,"1:1","Other"
91420,1448,19,0.2,"RM2","No AC",3,"1:1","Modern"
53860,1439,22,0.1,"Other","No AC",2,"2:0","Modern"
64900,782,26,0.2,"RS2","No AC",3,"1:0","Other"
NA,2528,22,0.14,"Other","No AC",3,"2:0","Modern"
NA,2134,17,0.31,"RS2","No AC",4,"2:0","Colonial"
55000,1200,22,0.08,"RS1","No AC",4,"1:1","Colonial"
47320,1644,38,0.1,"RM2","No AC",6,"2:0","Other"
NA,3938,28,0.47,"RS2","No AC",5,"3:0","Other"
76970,2162,28,0.32,"RS3","No AC",4,"2:0","Colonial"
NA,1406,28,0.09,"RS2","No AC",3,"1:0","Other"
64580,1708,22,0.1,"RS3","No AC",5,"2:0","Colonial"
NA,2265,28,0.18,"RM2","No AC",4,"3:0","Other"
NA,1362,18,0.22,"RM2","No AC",3,"1:1","Colonial"
NA,2585,38,0.22,"RM2","No AC",4,"3:0","Modern"
260150,2758,28,0.19,"Other","No AC",6,"3:1","Colonial"
62510,2070,38,0.08,"RM2","No AC",4,"2:0","Ranch"
NA,2353,22,0.18,"RS3","No AC",5,"3:1","Other"
190580,2102,20,0.36,"RM1","AC",2,"2:1","Modern"
92200,3110,22,0.15,"RS2","No AC",6,"3:0","Other"
101130,2460,28,0.12,"RS1","No AC",6,"2:0","Other"
NA,2216,28,0.17,"Other","No AC",4,"2:0","Other"
NA,1640,38,0.14,"RM3","No AC",5,"2:0","Colonial"
NA,1860,22,0.65,"RS2","No AC",3,"2:0","Modern"
75110,1176,23,0.18,"RM2","No AC",3,"1:0","Colonial"
104590,3390,22,0.14,"RS2","No AC",5,"3:0","Other"
NA,1386,38,0.05,"RM2","No AC",2,"1:0","Colonial"
91610,1981,17,0.11,"RS1","No AC",4,"2:0","Colonial"
72270,1682,28,0.25,"Other","No AC",3,"2:1","Colonial"
NA,1346,19,0.1,"RS1","No AC",5,"2:0","Other"
85930,3396,22,0.21,"RM1","No AC",6,"3:0","Ranch"
119910,4306,28,0.21,"RM3","No AC",8,"3:0","Ranch"
NA,2739,28,0.11,"RM3","No AC",7,"3:0","Other"
70190,1404,28,0.08,"RS1","No AC",2,"1:0","Other"
76450,2521,28,0.12,"RS2","No AC",6,"2:0","Colonial"
NA,1440,27,0.14,"RS2","No AC",4,"2:0","Colonial"
NA,1504,38,0.13,"RS2","No AC",3,"2:0","Other"
NA,3560,28,0.14,"RS2","No AC",7,"3:0","Other"
173470,2123,28,0.11,"RS2","No AC",3,"2:1","Other"
NA,5074,28,0.12,"RS2","No AC",8,"4:0","Other"
63770,2174,28,0.08,"RM2","No AC",5,"2:0","Ranch"
112570,4132,28,0.18,"RS2","No AC",6,"4:0","Colonial"
100780,1672,12,0.24,"RS1","AC",3,"1:0","Other"
75020,3299,28,0.09,"RS1","No AC",6,"3:0","Colonial"
81000,1420,28,0.11,"RS2","No AC",2,"1:0","Other"
NA,4592,28,0.12,"RM1","No AC",8,"4:0","Colonial"
NA,1552,28,0.17,"RS3","No AC",3,"3:0","Other"
NA,2002,22,0.45,"RS1","AC",3,"2:0","Modern"
NA,1149,23,0.19,"Other","No AC",2,"1:0","Colonial"
119000,2285,19,0.17,"RM3","AC",3,"2:1","Colonial"
NA,988,28,0.25,"Other","No AC",2,"1:0","Colonial"
61840,924,22,0.15,"Other","No AC",3,"1:0","Colonial"
91460,3545,28,0.16,"RS3","No AC",6,"3:1","Other"
67170,1572,38,0.1,"RS3","No AC",2,"1:0","Other"
75670,1847,28,0.1,"RM2","No AC",3,"1:0","Colonial"
55100,1688,28,0.07,"RS2","No AC",4,"2:1","Colonial"
NA,1822,22,0.08,"RS3","No AC",5,"3:0","Other"
NA,3782,22,0.21,"RS3","No AC",5,"3:0","Modern"
NA,3645,22,0.08,"RM2","No AC",4,"2:0","Other"
NA,2236,18,0.2,"RS2","No AC",6,"2:0","Colonial"
NA,2645,50,0.08,"RS2","No AC",4,"2:0","Other"
NA,2454,9,0.09,"Other","No AC",6,"3:0","Other"
NA,1536,22,0.18,"Other","No AC",2,"2:0","Other"
NA,3509,17,0.16,"RM3","No AC",7,"3:0","Colonial"
NA,1848,22,0.15,"RS3","No AC",3,"1:1","Other"
NA,1290,23,0.21,"Other","No AC",3,"1:1","Other"
134410,2280,28,0.19,"RS2","No AC",3,"2:0","Other"
NA,2966,22,0.12,"RS2","No AC",5,"3:0","Modern"
53450,1920,35,0.19,"RS3","No AC",5,"2:0","Colonial"
73830,2639,28,0.15,"RS1","No AC",6,"3:1","Ranch"
NA,1606,28,0.16,"RM1","No AC",4,"2:0","Colonial"
71370,1110,26,0.13,"RS3","No AC",2,"1:0","Other"
NA,1148,23,0.21,"Other","AC",2,"1:0","Other"
NA,3178,28,0.12,"RM3","No AC",4,"2:0","Other"
NA,1598,22,0.28,"RS2","No AC",3,"3:0","Other"
96710,2304,28,0.11,"RM1","No AC",3,"2:0","Other"
NA,1518,22,0.05,"RM1","No AC",4,"2:0","Colonial"
NA,3650,22,0.16,"RM2","No AC",6,"3:0","Other"
NA,1152,30,0.11,"RS2","No AC",3,"1:0","Other"
NA,2571,23,0.28,"RM2","No AC",5,"2:0","Other"
NA,2125,38,0.06,"RM2","No AC",5,"3:0","Ranch"
98800,1860,28,0.17,"Other","No AC",3,"1:1","Colonial"
90070,1308,28,0.15,"RS1","No AC",3,"1:0","Other"
155650,2783,28,0.33,"RS3","No AC",5,"2:1","Other"
NA,4479,22,0.16,"RS1","No AC",5,"3:0","Other"
62900,1587,28,0.13,"RS3","No AC",2,"2:0","Other"
NA,1966,50,0.11,"RM1","No AC",4,"2:1","Modern"
62440,2264,28,0.14,"RM2","No AC",6,"2:0","Colonial"
57830,1260,28,0.16,"RS2","No AC",3,"2:0","Ranch"
96530,1596,26,0.23,"RM2","No AC",2,"1:1","Colonial"
NA,1254,15,0.13,"RM3","No AC",3,"1:1","Other"
74450,1104,22,0.16,"RS3","No AC",3,"2:0","Other"
121710,1200,33,0.17,"RS1","No AC",3,"2:0","Other"
75120,2727,28,0.09,"RS2","No AC",5,"3:0","Other"
NA,3449,28,0.23,"RS1","No AC",6,"3:0","Colonial"
126820,1861,27,0.17,"RS1","No AC",4,"1:1","Other"
66970,2499,28,0.08,"RS1","No AC",6,"3:0","Colonial"
NA,3035,22,0.17,"RM1","No AC",6,"3:0","Other"
NA,3414,28,0.19,"RS2","No AC",6,"3:0","Colonial"
NA,2279,10,0.12,"RS3","No AC",6,"3:0","Other"
84500,1747,22,0.09,"RS2","No AC",3,"1:1","Colonial"
114110,2790,28,0.17,"RS2","AC",4,"2:0","Ranch"
NA,1860,38,0.15,"RS2","No AC",5,"2:0","Colonial"
NA,2272,28,0.23,"RS2","No AC",4,"2:0","Other"
NA,5034,28,0.15,"RS1","No AC",7,"3:0","Ranch"
80290,1225,24,0.12,"RM2","No AC",4,"1:1","Ranch"
NA,2842,28,0.14,"RS3","No AC",6,"2:0","Other"
NA,2773,28,0.11,"RS2","No AC",6,"3:0","Other"
NA,3879,28,0.17,"RS2","No AC",5,"3:0","Other"
NA,5872,22,1.11,"Other","No AC",5,"5:1","Other"
NA,2557,28,0.13,"RM2","No AC",5,"2:0","Ranch"
NA,2079,38,0.08,"RS2","No AC",6,"2:0","Modern"
NA,4676,22,0.9,"RS3","No AC",6,"3:0","Other"
NA,3132,28,0.15,"RS2","No AC",6,"3:0","Modern"
NA,1598,22,0.21,"RM3","No AC",3,"1:1","Colonial"
NA,914,28,0.25,"RM3","No AC",3,"1:1","Other"
NA,3415,28,0.09,"RS1","No AC",6,"3:0","Colonial"
NA,2184,22,0.11,"RM3","No AC",4,"2:0","Other"
89260,1590,22,0.17,"RS2","No AC",3,"2:0","Other"
NA,1278,22,0.11,"RS1","No AC",3,"1:0","Ranch"
63180,1877,28,0.1,"RM1","No AC",6,"3:0","Colonial"
155050,2642,24,0.32,"RM2","No AC",4,"2:0","Other"
NA,1064,28,0.09,"Other","No AC",3,"1:1","Other"
NA,1596,28,0.07,"Other","No AC",4,"2:0","Other"
NA,2076,85,0.11,"RS3","No AC",4,"2:0","Colonial"
92100,3375,28,0.06,"RS1","No AC",8,"3:0","Colonial"
NA,1632,16,0.29,"RS3","AC",3,"1:1","Other"
NA,660,28,0.21,"RM1","No AC",2,"1:0","Modern"
121420,2052,26,0.18,"RS3","No AC",3,"2:1","Colonial"
74310,2045,22,0.08,"RM1","No AC",4,"2:0","Other"
112080,2024,28,0.12,"RS2","No AC",4,"2:1","Other"
NA,2363,38,0.08,"RM1","No AC",5,"2:0","Modern"
37840,1664,50,0.09,"RM1","No AC",6,"2:0","Other"
NA,2635,50,0.14,"RS1","No AC",4,"2:0","Other"
75190,1080,27,0.11,"RS2","No AC",2,"2:0","Other"
NA,1222,27,0.14,"RS3","No AC",3,"1:0","Colonial"
76560,2424,28,0.13,"RS1","No AC",4,"2:0","Other"
NA,3840,38,0.1,"RM1","No AC",4,"4:0","Other"
119360,2017,28,0.12,"RS2","No AC",4,"2:0","Other"
NA,1246,38,0.2,"RS2","No AC",2,"1:0","Other"
66080,1635,22,0.13,"RM3","No AC",3,"1:1","Colonial"
61670,1612,22,0.14,"RM2","No AC",4,"1:0","Other"
NA,1616,28,0.18,"RM2","No AC",3,"2:0","Colonial"
67690,1326,28,0.13,"RM2","No AC",2,"1:1","Modern"
87620,1317,28,0.13,"RS1","No AC",2,"1:1","Other"
NA,1850,28,0.16,"RS2","No AC",3,"1:1","Ranch"
NA,1784,24,0.19,"RS2","AC",2,"1:1","Other"
66720,2376,22,0.08,"RS2","No AC",6,"3:0","Other"
74440,1148,21,0.14,"Other","No AC",4,"1:0","Colonial"
97730,3408,28,0.09,"RS2","No AC",4,"2:0","Other"
NA,3597,22,0.23,"RS2","No AC",7,"3:0","Other"
220060,4041,28,0.32,"RS1","No AC",5,"3:1","Colonial"
NA,1136,22,0.17,"RS2","No AC",3,"2:0","Other"
95310,1540,28,0.3,"RS3","No AC",3,"1:0","Other"
NA,1578,22,0.17,"RS2","No AC",3,"1:1","Colonial"
56470,976,22,0.06,"RS1","No AC",2,"1:0","Other"
NA,2408,28,0.12,"RS1","No AC",4,"2:0","Other"
NA,960,19,0.34,"RS3","No AC",3,"1:0","Other"
78470,1592,28,0.1,"RM3","No AC",3,"1:1","Other"
266530,3844,22,0.24,"RM1","No AC",6,"3:0","Other"
NA,2011,22,0.09,"RS2","No AC",3,"1:1","Other"
NA,1125,23,0.12,"RS1","No AC",3,"1:0","Other"
NA,3964,20,0.43,"RS1","AC",6,"3:1","Other"
NA,1352,20,0.4,"RS1","No AC",3,"1:0","Ranch"
66440,1678,22,0.07,"RS2","No AC",4,"2:0","Colonial"
79360,2064,28,0.14,"RS1","No AC",3,"1:1","Other"
124720,4152,22,0.2,"RS1","No AC",8,"4:0","Other"
NA,1840,22,0.11,"Other","No AC",6,"2:0","Other"
NA,1431,28,0.08,"RS3","No AC",3,"1:0","Colonial"
63100,1848,28,0.09,"Other","No AC",6,"4:0","Other"
48480,1158,28,0.09,"RS3","No AC",3,"1:0","Other"
